Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Southern EPR-Segment K,Hawaï,Amérique du Nord,,0,1990,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,Dolomieu and SE flank,0,1990,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1990,Hydrophonic;
Ruapehu,Nouvelle-Zélande,Océanie,,0,1990,Historical Observations;
Northern EPR at 9.8°N,Hawaï,Amérique du Nord,East Pacific Rise (9.8 deg N),0,1991,Historical Observations;
Northern EPR at 9.8°N,Hawaï,Amérique du Nord,East Pacific Rise (9.9 deg N),0,1991,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,Dolomieu and upper east flank,0,1991,Historical Observations;
Ontakesan,Japon,Asie,1979 Crater #7,0,1991,Historical Observations;
Metis Shoal,Tonga,Océanie,,0,1991,Historical Observations;
Heard,Australie,Océanie,Mawson Peak,0,1992,Historical Observations;
McDonald Islands,Australie,Océanie,Submarine vent near McDonald Islands,0,1992,Historical Observations;
Poas,Costa Rica,Amérique du Nord,,0,1992,Historical Observations;
Socorro,Mexique,Amérique du Nord,Submarine vent 3 km W of Punta Tosca,0,1993,Historical Observations;
"CoAxial Segment,USA,Amérique du Nord,""N end CoAxial segment, Juan de Fuca Ridge"",0,1993,Historical Observations";
Saunders,Géorgie du Sud,Antarctique,,0,1995,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,1995,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1995,Hydrophonic;
Ruby,îles Mariannes du Nord,Asie,,0,1995,Historical Observations;
Boomerang Seamount,Océan Indien,Asie,,0,1995,Uranium-series;
Vailulu'u,Océan pacifique,Océanie,,0,1995,Hydrophonic;
Saunders,Géorgie du Sud,Antarctique,,0,1996,Historical Observations;
North Gorda Ridge Segment,Hawaï,Amérique du Nord,Near center of North Gorda Ridge segment,0,1996,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1996,Hydrophonic;
Galapagos Rift,îles Galapagos,Amérique du Sud,,0,1996,Historical Observations;
Bezymianny,Russie,Europe,,0,1996,Historical Observations;
Loihi,USA,Amérique du Nord,,0,1996,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,1997,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1997,Hydrophonic;
Monowai,îles Cermadec,Océanie,,0,1997,Hydrophonic;
Axial Seamount,Océan Pacifique,Amérique du Nord,South end of Axial caldera,0,1998,Historical Observations;
Terceira,Portugal,Europe,Serreta Ridge (submarine vent W of Terceira),0,1998,Historical Observations;
Bezymianny,Russie,Europe,,0,1998,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1999,Hydrophonic;
Iliwerung,Indonésie,Asie,Hobal (submarine vent on SE flank),0,1999,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2000,Historical Observations;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,2001,Hydrophonic;
Saunders,Géorgie du Sud,Antarctique,,0,2001,Historical Observations;
Ibu,Indonésie,Asie,,0,2001,Historical Observations;
"Ahyi,USA,Amérique du Nord,""20.34°N, 145.02°E"",0,2001,Hydrophonic";
Saunders,Géorgie du Sud,Antarctique,,0,2002,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2002,Hydrophonic;
